"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 24 09:22:29 GMT 2023","Fri Mar 24 09:22:35 GMT 2023","6207","Default Suite","KongaProject_Automation_Test","kongaOrderingTask","kongaOrderingTask","SelectCardPayment","SelectCardPayment",""
"passed","Fri Mar 24 09:22:05 GMT 2023","Fri Mar 24 09:22:16 GMT 2023","10542","Default Suite","KongaProject_Automation_Test","kongaOrderingTask","kongaOrderingTask","ClickOnCart","ClickOnCart",""
"passed","Fri Mar 24 09:22:24 GMT 2023","Fri Mar 24 09:22:29 GMT 2023","4329","Default Suite","KongaProject_Automation_Test","kongaOrderingTask","kongaOrderingTask","SelectDeliveryAddress","SelectDeliveryAddress",""
"passed","Fri Mar 24 09:21:44 GMT 2023","Fri Mar 24 09:21:57 GMT 2023","12449","Default Suite","KongaProject_Automation_Test","kongaOrderingTask","kongaOrderingTask","ClickOnCategories","ClickOnCategories",""
"passed","Fri Mar 24 09:21:57 GMT 2023","Fri Mar 24 09:22:05 GMT 2023","8653","Default Suite","KongaProject_Automation_Test","kongaOrderingTask","kongaOrderingTask","AddItemToCart","AddItemToCart",""
"passed","Fri Mar 24 09:21:40 GMT 2023","Fri Mar 24 09:21:44 GMT 2023","4396","Default Suite","KongaProject_Automation_Test","kongaOrderingTask","kongaOrderingTask","LoginUser","LoginUser",""
"passed","Tue Mar 21 19:35:35 GMT 2023","Tue Mar 21 19:35:38 GMT 2023","3175","Default Suite","KongaProject","kongaOrderingTask","kongaOrderingTask","SelectAddress","SelectAddress",""
"passed","Fri Mar 24 09:22:19 GMT 2023","Fri Mar 24 09:22:24 GMT 2023","5174","Default Suite","KongaProject_Automation_Test","kongaOrderingTask","kongaOrderingTask","CompleteAddressForm","CompleteAddressForm",""
"broken","Tue Mar 21 15:20:51 GMT 2023","Tue Mar 21 15:20:51 GMT 2023","2","Default Suite","KongaProject","kongaOrderingTask","kongaOrderingTask","setup","setup",""
"passed","Fri Mar 24 09:22:35 GMT 2023","Fri Mar 24 09:22:46 GMT 2023","10600","Default Suite","KongaProject_Automation_Test","kongaOrderingTask","kongaOrderingTask","SelectCardPaymentAndMakePayment","SelectCardPaymentAndMakePayment",""
"passed","Fri Mar 24 09:22:16 GMT 2023","Fri Mar 24 09:22:19 GMT 2023","3297","Default Suite","KongaProject_Automation_Test","kongaOrderingTask","kongaOrderingTask","ClickAddressButton","ClickAddressButton",""
